10 3628800 453999
20 2432902008176640000 216127622080212320
30 265252859812191032188804700045312 19266515867693903179344869588992
40 815915283247897683795548521301193790359984930816 51359451500916525833950823296188312498066161664
50 30414093201713375576366966406747986832057064836514787179557289984 1713073991961454746628095634252634039053529448884621038814494720
60 8320987112741391580056396102959641077457945541076708813599085350531187384917164032 427962887250467016103844642514187131471300371819672301534338731379314333730209792
70 11978571669969890269925854460558840225267029209529303278944419871214396524861374498691473966836482048 570491355121902682467428945879924204903754633931350787962035239310310085351286195971599781515493376
80 71569457046263778832073404098641551692451427821500630228331524401978643519022131505852398484420816675798776564959674368 3188896376975761136722102680915395154452362731527824582618388469092618739004075958007862896091558854715074356189331456
90 1485715964481760688598126444658390468648504385338494631194665214503009929244428884407664620677918947601692538663274334960161140774153486336 62419815154992814562526292989228954497621663921433303179873642845457746373633223996121769708607640006461836126449184673035826900775206912
100 93326215443944102188325606108575267240944254854960571509166910400407995064242937148632694030450512898042989296944474898258737204311236641477561877016501813248 3720075976020918332513502453555882244156247172102677655773099727030652665612704095025744498007979892297468785695813476262199981975010179564495120855279337472
